Point_ID,Y_mm,Z_mm,Mean_m_s,Median_m_s,StdDev,Dom_Freq_Hz,Peak_PSD,Signal_Type,Selected_Velocity
00,1650.0,-760.6975,5.611232309125379,5.577107110726445,0.28864666755590396,12.20703125,0.008376396776098758,Stochastic (Turbulent),5.577107110726445
01,1650.0,-654.0,,,,0.0,0.0,Stochastic (Turbulent),
02,1650.0,-654.0,,,,0.0,0.0,Stochastic (Turbulent),
03,1650.0,-495.5,3.493833689771618,3.4965789155129974,0.141378926550012,12.20703125,0.000297044996012396,Stochastic (Turbulent),3.4965789155129974
04,1650.0,-416.7,3.5672614307923354,3.5690243008979783,0.1408824644144331,12.20703125,0.00023982476288961983,Stochastic (Turbulent),3.5690243008979783
05,1650.0,-416.7,3.3524063417022756,3.3555161734482493,0.14075800203440758,12.20703125,0.0001674371418815535,Stochastic (Turbulent),3.3555161734482493
06,1650.0,-378.0025,,,,0.0,0.0,Stochastic (Turbulent),
07,1650.0,-378.0025,,,,0.0,0.0,Stochastic (Turbulent),
08,1650.0,-337.8025,3.758216586787364,3.758126144225177,0.1658370120931801,2.44140625,0.00046940516078733727,Stochastic (Turbulent),3.758126144225177
09,1650.0,-182.8025,4.093153698253876,4.100294988383908,0.21765819062525749,12.20703125,0.002228371232972866,Stochastic (Turbulent),4.100294988383908
10,1650.0,-182.8025,3.045123169692013,3.0666495686755164,0.21737530379581121,4.8828125,0.001912264334298723,Stochastic (Turbulent),3.0666495686755164
11,1650.0,-182.8025,3.153523701119201,3.156357387423534,0.1735191257253761,4.8828125,0.0005870230357385087,Stochastic (Turbulent),3.156357387423534
12,1650.0,0.0,2.921063589426528,2.932169852388607,0.25794601500593967,4.8828125,0.0027136050014747886,Stochastic (Turbulent),2.932169852388607
13,1650.0,12.2975,3.1165802871263386,3.1004744701059046,0.31370447037408283,2.44140625,0.004439654120046638,Stochastic (Turbulent),3.1004744701059046
14,1650.0,12.2975,3.0972956601211394,3.0978081747639346,0.2621894075160694,12.20703125,0.0022154711102917754,Stochastic (Turbulent),3.0978081747639346
15,1650.0,51.0,,,,0.0,0.0,Stochastic (Turbulent),
16,1650.0,51.0,,,,0.0,0.0,Stochastic (Turbulent),
17,1650.0,129.9,,,,0.0,0.0,Stochastic (Turbulent),
18,1650.0,288.3,5.419533447624773,5.412484191779956,0.4149571032581745,4.8828125,0.0077923685219362954,Stochastic (Turbulent),5.412484191779956
19,1650.0,288.3,5.584937882939447,5.598684781300424,0.2003119918631225,4.8828125,0.0011775986857576603,Stochastic (Turbulent),5.598684781300424
20,1650.0,395.0,5.672714786497866,5.673085923080601,0.08191975100238802,12.20703125,0.00022954893958091336,Stochastic (Turbulent),5.673085923080601
21,1650.0,572.0975,5.653028168431115,5.653786227352693,0.07273597059424562,2.44140625,1.3458992716988737e-05,Stochastic (Turbulent),5.653786227352693
22,1650.0,634.3,5.6362216093535045,5.636600029183352,0.07157474854452583,2.44140625,8.004749124763264e-06,Stochastic (Turbulent),5.636600029183352
