Point_ID,Y_mm,Z_mm,Mean_m_s,Median_m_s,StdDev,Dom_Freq_Hz,Peak_PSD,Signal_Type,Selected_Velocity
00,1649.9975,-707.1,5.667730819601041,5.697894292276384,0.2651396965903308,2.44140625,0.002700337300112945,Stochastic (Turbulent),5.697894292276384
01,1649.9975,-523.9,3.432258255054045,3.402269173629355,0.32286732765523213,2.44140625,0.005564472426558004,Stochastic (Turbulent),3.402269173629355
02,1649.9975,-471.2,3.905188029603182,3.8754024758250374,0.48352400156516595,7.32421875,0.011553391179422001,Periodic (Vortex/Blade),3.905188029603182
03,1649.9975,-471.2,,,,0.0,0.0,Stochastic (Turbulent),
04,1649.9975,-382.7025,3.1855288900206027,3.1879196760282738,0.13409694251318763,4.8828125,0.0001379423372399771,Stochastic (Turbulent),3.1879196760282738
05,1649.9975,-233.8,3.244273891774983,3.245504300037051,0.146975599992531,4.8828125,0.00014893681285313619,Stochastic (Turbulent),3.245504300037051
06,1649.9975,-233.8,3.168235096916852,3.170525786048679,0.1399444454203429,4.8828125,0.00010627178496810248,Stochastic (Turbulent),3.170525786048679
07,1649.9975,-195.2,,,,0.0,0.0,Stochastic (Turbulent),
08,1649.9975,-195.2,,,,0.0,0.0,Stochastic (Turbulent),
09,1649.9975,-150.0,3.555782108295805,3.5538461993387056,0.18944250803479168,4.8828125,0.0010789738720500819,Stochastic (Turbulent),3.5538461993387056
10,1649.9975,0.0,3.1514708053903666,3.1541480739798393,0.14246958906042703,4.8828125,0.00013633465090215,Stochastic (Turbulent),3.1541480739798393
11,1649.9975,0.0,3.268809768353716,3.2671661361180924,0.25253423190926044,4.8828125,0.00304675121540526,Stochastic (Turbulent),3.2671661361180924
12,1649.9975,0.0,3.1991970930782614,3.1984670347895117,0.15109728175140844,4.8828125,0.0003120866214106692,Stochastic (Turbulent),3.1984670347895117
13,1649.9975,150.0,3.398287640152227,3.401213109666651,0.23675247392173224,2.44140625,0.0022257325951537624,Stochastic (Turbulent),3.401213109666651
14,1649.9975,195.2,,,,0.0,0.0,Stochastic (Turbulent),
15,1649.9975,195.2,3.46205299536023,3.524019481529,0.3809301677258007,12.20703125,0.019203167654941625,Periodic (Vortex/Blade),3.46205299536023
16,1649.9975,233.8,3.120717094464147,3.124736630713885,0.1601478611898078,2.44140625,0.00030925506526035873,Stochastic (Turbulent),3.124736630713885
17,1649.9975,233.8,3.0606141960836917,3.0675662776386226,0.2278877890718854,2.44140625,0.0023159323745995317,Stochastic (Turbulent),3.0675662776386226
18,1649.9975,382.6975,3.2428285347161734,3.2463653868599627,0.1426399554083327,12.20703125,0.00034601761964176943,Stochastic (Turbulent),3.2463653868599627
19,1649.9975,471.2,,,,0.0,0.0,Stochastic (Turbulent),
20,1649.9975,471.2,,,,0.0,0.0,Stochastic (Turbulent),
21,1649.9975,523.9,,,,0.0,0.0,Stochastic (Turbulent),
22,1649.9975,707.0975,5.971481066095222,5.977190658023284,0.14493811384634714,12.20703125,0.0033610669386171604,Stochastic (Turbulent),5.977190658023284
