x	y	z	A
1650.0	12.3	-471.2	-30
1650.0	-378.0	-471.2	-30
1650.0	-182.8	-360.6	-30
1650.0	288.3	-195.2	-30
1650.0	-654.0	-195.2	-30
1650.0	129.5	-180.3	-30
1650.0	-495.1	-180.3	-30
1650.0	-877.4	0.0	-30
1650.0	-824.6	0.0	-30
1650.0	-674.0	0.0	-30
1650.0	-448.6	0.0	-30
1650.0	-182.8	0.0	-30
1650.0	83.0	0.0	-30
1650.0	308.3	0.0	-30
1650.0	458.9	0.0	-30
1650.0	511.8	0.0	-30
1650.0	-495.1	180.3	-30
1650.0	129.5	180.3	-30
1650.0	288.3	195.2	-30
1650.0	-654.0	195.2	-30
1650.0	-182.8	360.6	-30
1650.0	-378.0	471.2	-30
1650.0	12.3	471.2	-30
1650.0	195.2	-471.2	0
1650.0	-195.2	-471.2	0
1650.0	-0.0	-360.6	0
1650.0	471.2	-195.2	0
1650.0	-471.2	-195.2	0
1650.0	312.3	-180.3	0
1650.0	-312.3	-180.3	0
1650.0	-837.1	0.0	0
1650.0	-773.4	0.0	0
1650.0	-591.9	0.0	0
1650.0	-320.4	0.0	0
1650.0	-0.0	0.0	0
1650.0	320.4	0.0	0
1650.0	591.9	0.0	0
1650.0	773.4	0.0	0
1650.0	837.1	0.0	0
1650.0	-312.3	180.3	0
1650.0	312.3	180.3	0
1650.0	471.2	195.2	0
1650.0	-471.2	195.2	0
1650.0	0.0	360.6	0
1650.0	-195.2	471.2	0
1650.0	195.2	471.2	0
1650.0	380.6	-471.2	30
1650.0	-9.7	-471.2	30
1650.0	185.4	-360.6	30
1650.0	656.6	-195.2	30
1650.0	-285.7	-195.2	30
1650.0	497.8	-180.3	30
1650.0	-126.9	-180.3	30
1650.0	-506.9	0.0	30
1650.0	-454.2	0.0	30
1650.0	-304.1	0.0	30
1650.0	-79.5	0.0	30
1650.0	185.4	0.0	30
1650.0	450.4	0.0	30
1650.0	675.0	0.0	30
1650.0	825.1	0.0	30
1650.0	877.8	0.0	30
1650.0	-126.9	180.3	30
1650.0	497.8	180.3	30
1650.0	656.6	195.2	30
1650.0	-285.7	195.2	30
1650.0	185.4	360.6	30
1650.0	-9.7	471.2	30
1650.0	380.6	471.2	30
